"Major","Major_Category","total_majors","employed","unemployed","mean_earnings","median_earnings","quantile(PERNP, 0.25)","quantile(PERNP, 0.75)","unemployment_rate"
"ACCOUNTING","Business",34625,27116,793,113784.842712789,81000,50000,130000,2.9
"ACTUARIAL SCIENCE","Business",192,154,6,163240.974025974,111500,62250,194000,3.9
"ADVERTISING AND PUBLIC RELATIONS","Communications & Journalism",2007,1674,62,77202.8679808841,60000,38125,90000,3.7
"AEROSPACE ENGINEERING","Engineering",3609,2486,64,126193.254625905,108000,75000,150000,2.6
"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",934,661,10,110985.279878971,75000,45000,130000,1.5
"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1139,813,18,89916.520295203,65000,40000,102000,2.2
"ANIMAL SCIENCES","Agriculture & Natural Resources",3505,2886,40,88948.439015939,70000,42000,101000,1.4
"ANTHROPOLOGY AND ARCHEOLOGY","Humanities & Liberal Arts",6955,5195,204,79518.8269489894,58000,35000,91800,3.9
"APPLIED MATHEMATICS","Computers & Mathematics",1113,931,39,120762.07518797,96000,55000,144500,4.2
"ARCHITECTURAL ENGINEERING","Engineering",395,298,11,95699.6644295302,80000,55000,116500,3.7
"ARCHITECTURE","Engineering",8858,6979,256,85168.7283278407,65000,40000,1e+05,3.7
"AREA ETHNIC AND CIVILIZATION STUDIES","Humanities & Liberal Arts",5393,4183,123,94267.1118814248,65000,40000,109000,2.9
"ART AND MUSIC EDUCATION","Education",11243,6924,136,56300.7527440786,52000,30000,72000,2
"ART HISTORY AND CRITICISM","Humanities & Liberal Arts",3468,2455,84,76064.5221995927,54000,30000,87000,3.4
"ASTRONOMY AND ASTROPHYSICS","Physical Sciences",370,289,10,104913.494809689,87000,52000,130000,3.5
"ATMOSPHERIC SCIENCES AND METEOROLOGY","Physical Sciences",752,509,16,88216.7779960707,77000,49000,115000,3.1
"BIOCHEMICAL SCIENCES","Biology & Life Science",7515,6325,153,142219.538814229,94000,51000,178000,2.4
"BIOLOGICAL ENGINEERING","Engineering",1347,1038,26,101471.227360308,73000,40850,120000,2.5
"BIOLOGY","Biology & Life Science",64487,51468,984,136373.157534779,90000,50000,168000,1.9
"BIOMEDICAL ENGINEERING","Engineering",1614,1429,36,120763.499650105,83400,50000,142000,2.5
"BOTANY","Biology & Life Science",1151,752,27,83134.4015957447,65000,38000,1e+05,3.6
"BUSINESS ECONOMICS","Business",1808,1377,48,124396.347857662,90000,52000,150000,3.5
"BUSINESS MANAGEMENT AND ADMINISTRATION","Business",48331,35761,1384,96412.1679483236,73000,43600,115000,3.9
"CHEMICAL ENGINEERING","Engineering",9873,7072,209,135432.260039593,105000,62000,156000,3
"CHEMISTRY","Physical Sciences",26991,18847,489,137080.32127129,1e+05,52000,166000,2.6
"CIVIL ENGINEERING","Engineering",12074,8825,241,114556.686685552,95000,60000,131000,2.7
"CLINICAL PSYCHOLOGY","Psychology & Social Work",1222,852,32,72989.3192488263,58000,30000,89250,3.8
"COGNITIVE SCIENCE AND BIOPSYCHOLOGY","Biology & Life Science",419,380,4,107835.078947368,75000,43750,130000,1.1
"COMMERCIAL ART AND GRAPHIC DESIGN","Arts",3389,2547,124,66846.3922261484,53000,30000,81000,4.9
"COMMUNICATION DISORDERS SCIENCES AND SERVICES","Health",11131,8552,129,65567.2432179607,59000,40000,79000,1.5
"COMMUNICATION TECHNOLOGIES","Computers & Mathematics",521,418,21,67271.004784689,52500,33700,80000,5
"COMMUNICATIONS","Communications & Journalism",16452,12989,496,78158.4155824159,60000,38000,91000,3.8
"COMMUNITY AND PUBLIC HEALTH","Health",2250,1738,61,79467.6933256617,60000,37525,92000,3.5
"COMPOSITION AND RHETORIC","Humanities & Liberal Arts",1323,1050,52,60663.4133333333,48700,28000,75000,5
"COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY","Computers & Mathematics",689,552,30,86145.7608695652,78500,50000,110000,5.4
"COMPUTER AND INFORMATION SYSTEMS","Computers & Mathematics",4597,3943,107,91442.0925691098,82000,52000,110000,2.7
"COMPUTER ENGINEERING","Engineering",5438,4757,112,117707.092915703,1e+05,70000,140000,2.4
"COMPUTER NETWORKING AND TELECOMMUNICATIONS","Computers & Mathematics",667,567,21,91069.3474426808,75000,48000,110000,3.7
"COMPUTER PROGRAMMING AND DATA PROCESSING","Computers & Mathematics",316,240,10,96045.25,68000,39500,110177.5,4.2
"COMPUTER SCIENCE","Computers & Mathematics",19082,16265,462,114976.322410083,1e+05,65000,140000,2.8
"CONSTRUCTION SERVICES","Industrial Arts & Consumer Services",625,487,18,97896.0985626283,75000,47050,120000,3.7
"COSMETOLOGY SERVICES AND CULINARY ARTS","Industrial Arts & Consumer Services",325,192,10,54386.984375,40000,20000,64000,5.2
"COUNSELING PSYCHOLOGY","Psychology & Social Work",2910,2000,74,54893.991,46000,30000,65000,3.7
"COURT REPORTING","Law & Public Policy",69,47,1,77461.7234042553,70000,48750,103500,2.1
"CRIMINAL JUSTICE AND FIRE PROTECTION","Law & Public Policy",11606,9219,336,75054.0954550385,60000,38000,95000,3.6
"CRIMINOLOGY","Social Science",1320,1018,31,75967.0039292731,60000,38000,92000,3
"DRAMA AND THEATER ARTS","Arts",3996,3040,173,65560.4348684211,50000,30000,78000,5.7
"EARLY CHILDHOOD EDUCATION","Education",5184,3824,81,50200.6893305439,48950,35000,62000,2.1
"ECOLOGY","Biology & Life Science",1517,1261,37,81193.3869944489,60000,37000,95000,2.9
"ECONOMICS","Social Science",30296,21907,709,144773.397087689,1e+05,53000,174000,3.2
"EDUCATIONAL ADMINISTRATION AND SUPERVISION","Education",3194,1888,34,66271.1075211864,60000,42000,83000,1.8
"EDUCATIONAL PSYCHOLOGY","Psychology & Social Work",1525,965,21,62221.2031088083,56000,40000,80000,2.2
"ELECTRICAL ENGINEERING TECHNOLOGY","Engineering",1537,1235,45,98953.4251012146,89000,60000,123000,3.6
"ELECTRICAL ENGINEERING","Engineering",29098,21551,639,130412.085239664,110000,74000,150000,3
"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION","Industrial Arts & Consumer Services",191,132,11,76212.1212121212,50000,32000,1e+05,8.3
"ELEMENTARY EDUCATION","Education",68081,37655,569,53907.1762050193,52000,36900,68000,1.5
"ENGINEERING AND INDUSTRIAL MANAGEMENT","Engineering",1167,678,31,119552.125368732,98000,54250,144675,4.6
"ENGINEERING MECHANICS PHYSICS AND SCIENCE","Engineering",1403,941,33,125546.833156217,106000,60000,150000,3.5
"ENGINEERING TECHNOLOGIES","Engineering",631,485,18,86060.1443298969,72000,45000,106000,3.7
"ENGLISH LANGUAGE AND LITERATURE","Humanities & Liberal Arts",53901,35344,1079,82547.6365153916,60000,35000,94000,3.1
"ENVIRONMENTAL ENGINEERING","Engineering",767,626,20,96458.785942492,82500,50000,119500,3.2
"ENVIRONMENTAL SCIENCE","Biology & Life Science",2939,2521,74,82485.3395477985,65000,41000,1e+05,2.9
"FAMILY AND CONSUMER SCIENCES","Industrial Arts & Consumer Services",9221,6026,153,60352.8551277796,51000,33000,75000,2.5
"FILM VIDEO AND PHOTOGRAPHIC ARTS","Arts",1365,1069,81,68076.7259120674,50000,30000,80000,7.6
"FINANCE","Business",17545,14485,451,132957.737314463,96000,57000,150000,3.1
"FINE ARTS","Arts",10597,6976,286,62207.0276662844,50000,25000,76000,4.1
"FOOD SCIENCE","Agriculture & Natural Resources",925,699,12,95329.4320457797,70000,43000,114500,1.7
"FORESTRY","Agriculture & Natural Resources",1517,1004,27,84446.5846613546,70000,42000,105000,2.7
"FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES","Humanities & Liberal Arts",13135,8385,243,78098.7524150268,60000,34000,90000,2.9
"GENERAL AGRICULTURE","Agriculture & Natural Resources",2595,1696,31,83963.6096698113,62000,37000,1e+05,1.8
"GENERAL BUSINESS","Business",33787,24464,842,109705.854684434,80000,45000,129000,3.4
"GENERAL EDUCATION","Education",65310,36572,794,60021.9377392541,54000,36000,75000,2.2
"GENERAL ENGINEERING","Engineering",13183,9192,276,119498.471605744,1e+05,59000,145000,3
"GENERAL MEDICAL AND HEALTH SERVICES","Health",3715,3020,71,81831.1456953642,65000,43000,95000,2.4
"GENERAL SOCIAL SCIENCES","Social Science",4366,2554,107,77695.1644479248,60000,34125,93000,4.2
"GENETICS","Biology & Life Science",708,592,11,116647.366554054,74500,42825,135000,1.9
"GEOGRAPHY","Social Science",3324,2386,89,81359.090947192,68000,42000,1e+05,3.7
"GEOLOGICAL AND GEOPHYSICAL ENGINEERING","Engineering",267,168,5,121477.380952381,95500,50750,140000,3
"GEOLOGY AND EARTH SCIENCE","Physical Sciences",5601,3947,113,104572.118824424,78000,48000,120000,2.9
"GEOSCIENCES","Physical Sciences",568,461,7,114118.329718004,90000,48000,140000,1.5
"HEALTH AND MEDICAL ADMINISTRATIVE SERVICES","Health",2886,2254,97,89384.5740905058,72000,43000,105000,4.3
"HEALTH AND MEDICAL PREPARATORY PROGRAMS","Health",5968,3971,77,171346.49735583,120000,60000,256000,1.9
"HISTORY","Humanities & Liberal Arts",39253,26429,724,101515.198267055,68000,40000,115000,2.7
"HOSPITALITY MANAGEMENT","Business",1541,1222,53,81343.3396072013,60000,36000,99750,4.3
"HUMAN RESOURCES AND PERSONNEL MANAGEMENT","Business",4145,3143,150,90412.7604199809,70000,41300,105000,4.8
"HUMAN SERVICES AND COMMUNITY ORGANIZATION","Psychology & Social Work",1856,1464,54,59554.7342896175,50000,34000,70000,3.7
"HUMANITIES","Humanities & Liberal Arts",1597,1069,47,75847.8419083255,55000,30000,90000,4.4
