"Major","Major_Category","total_majors","employed","unemployed","mean_earnings","median_earnings","quantile(PERNP, 0.25)","quantile(PERNP, 0.75)","unemployment_rate"
"ACCOUNTING","Business",129030,96000,3385,91590.8509583333,65000,40000,105000,3.5
"ACTUARIAL SCIENCE","Business",773,639,24,119467.151799687,81000,50000,140000,3.8
"ADVERTISING AND PUBLIC RELATIONS","Communications & Journalism",12050,9703,435,63693.4571781923,48000,30000,77000,4.5
"AEROSPACE ENGINEERING","Engineering",7174,4896,136,110371.56495098,96000,60000,135250,2.8
"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",3330,2450,42,92612.6118367347,65000,40000,104000,1.7
"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",7549,5956,126,72251.2990261921,53000,32000,85000,2.1
"ANIMAL SCIENCES","Agriculture & Natural Resources",10103,8038,167,67538.5154267231,50000,28850,81000,2.1
"ANTHROPOLOGY AND ARCHEOLOGY","Humanities & Liberal Arts",15172,10941,591,62632.5176857691,45000,24000,76000,5.4
"APPLIED MATHEMATICS","Computers & Mathematics",2255,1774,80,105416.613303269,85500,48000,130000,4.5
"ARCHITECTURAL ENGINEERING","Engineering",1350,974,40,87896.7556468173,70000,43200,105750,4.1
"ARCHITECTURE","Engineering",24337,18643,791,75894.2194925709,60000,35000,94000,4.2
"AREA ETHNIC AND CIVILIZATION STUDIES","Humanities & Liberal Arts",11189,8293,363,74741.9975883275,50000,27000,89000,4.4
"ART AND MUSIC EDUCATION","Education",24052,15042,353,47249.5709347161,42000,21000,61000,2.3
"ART HISTORY AND CRITICISM","Humanities & Liberal Arts",8600,5758,239,62434.7853421327,45000,23000,74000,4.2
"ASTRONOMY AND ASTROPHYSICS","Physical Sciences",615,466,21,88430.1502145923,68500,35000,115750,4.5
"ATMOSPHERIC SCIENCES AND METEOROLOGY","Physical Sciences",1585,1138,42,77084.4551845343,65000,34000,104000,3.7
"BIOCHEMICAL SCIENCES","Biology & Life Science",11682,9260,301,115208.497516199,71000,40000,138000,3.3
"BIOLOGICAL ENGINEERING","Engineering",3319,2489,76,85394.554439534,64000,34000,101000,3.1
"BIOLOGY","Biology & Life Science",110937,83447,2564,105582.194314954,65000,36000,120000,3.1
"BIOMEDICAL ENGINEERING","Engineering",2820,2321,82,101024.813011633,70000,40000,120000,3.5
"BOTANY","Biology & Life Science",1903,1201,40,72568.9841798501,57000,30000,92000,3.3
"BUSINESS ECONOMICS","Business",6093,4557,191,99438.7963572526,70000,40000,114600,4.2
"BUSINESS MANAGEMENT AND ADMINISTRATION","Business",215279,157700,6555,77521.4087698161,58900,35000,94000,4.2
"CHEMICAL ENGINEERING","Engineering",20324,14264,468,117683.7948682,95000,55000,140000,3.3
"CHEMISTRY","Physical Sciences",43274,28786,954,113150.175606197,79000,40000,135000,3.3
"CIVIL ENGINEERING","Engineering",32427,23558,737,99121.2866966635,81000,51000,120000,3.1
"CLINICAL PSYCHOLOGY","Psychology & Social Work",1680,1129,57,64710.3286093888,50000,25900,80000,5
"COGNITIVE SCIENCE AND BIOPSYCHOLOGY","Biology & Life Science",845,716,17,85750.9497206704,55000,28000,103250,2.4
"COMMERCIAL ART AND GRAPHIC DESIGN","Arts",30786,23288,1234,53634.3066815527,41300,23400,67000,5.3
"COMMUNICATION DISORDERS SCIENCES AND SERVICES","Health",15406,11184,237,59010.0188662375,52000,30000,74000,2.1
"COMMUNICATION TECHNOLOGIES","Computers & Mathematics",4121,3363,209,54569.0793933988,43000,25000,70000,6.2
"COMMUNICATIONS","Communications & Journalism",68467,54591,2463,66394.9661482662,50000,30000,80000,4.5
"COMMUNITY AND PUBLIC HEALTH","Health",5965,4517,190,59774.5917644454,45000,25000,73000,4.2
"COMPOSITION AND RHETORIC","Humanities & Liberal Arts",4500,3499,223,50015.9205487282,38000,20000,63000,6.4
"COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY","Computers & Mathematics",3321,2746,148,69475.615804807,60000,36575,89000,5.4
"COMPUTER AND INFORMATION SYSTEMS","Computers & Mathematics",19294,16357,658,77416.8585926515,70000,42800,1e+05,4
"COMPUTER ENGINEERING","Engineering",14605,12460,382,102350.888041734,90000,60000,125000,3.1
"COMPUTER NETWORKING AND TELECOMMUNICATIONS","Computers & Mathematics",3322,2838,128,71033.6575052854,58000,35000,90000,4.5
"COMPUTER PROGRAMMING AND DATA PROCESSING","Computers & Mathematics",1851,1404,80,71464.6438746439,60000,31375,90500,5.7
"COMPUTER SCIENCE","Computers & Mathematics",60329,50564,1772,98090.0936041452,85000,51000,120000,3.5
"CONSTRUCTION SERVICES","Industrial Arts & Consumer Services",5700,4912,138,83979.1327361563,68000,45000,1e+05,2.8
"COSMETOLOGY SERVICES AND CULINARY ARTS","Industrial Arts & Consumer Services",2506,1921,93,48430.4955752212,38300,20600,60000,4.8
"COUNSELING PSYCHOLOGY","Psychology & Social Work",3854,2661,114,51094.6418639609,42000,25000,60000,4.3
"COURT REPORTING","Law & Public Policy",394,281,14,60514.9501779359,48000,30000,80000,5
"CRIMINAL JUSTICE AND FIRE PROTECTION","Law & Public Policy",53537,42294,1778,60201.2352343122,50000,30000,76007.5,4.2
"CRIMINOLOGY","Social Science",5453,4169,187,59309.8855840729,47000,28600,75000,4.5
"DRAMA AND THEATER ARTS","Arts",13463,10344,674,52095.8040409899,39000,20000,63000,6.5
"EARLY CHILDHOOD EDUCATION","Education",14234,10198,324,40407.750441263,37000,22000,51000,3.2
"ECOLOGY","Biology & Life Science",4107,3306,123,61616.4162129462,45350,25000,75000,3.7
"ECONOMICS","Social Science",70084,49777,2008,117061.582819374,76000,40000,136000,4
"EDUCATIONAL ADMINISTRATION AND SUPERVISION","Education",3421,2051,37,64999.7859580692,60000,40000,80000,1.8
"EDUCATIONAL PSYCHOLOGY","Psychology & Social Work",2223,1355,37,57888.5911439114,50000,30000,72000,2.7
"ELECTRICAL ENGINEERING TECHNOLOGY","Engineering",6387,4953,179,83860.5112053301,75000,48600,105000,3.6
"ELECTRICAL ENGINEERING","Engineering",66506,47921,1596,112901.247615868,99000,60000,136000,3.3
"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION","Industrial Arts & Consumer Services",1106,833,43,63081.6446578631,50000,30000,79000,5.2
"ELEMENTARY EDUCATION","Education",152673,81853,1851,45327.1800300539,42000,25000,59000,2.3
"ENGINEERING AND INDUSTRIAL MANAGEMENT","Engineering",3769,2106,88,99882.4468186135,76000,42000,120000,4.2
"ENGINEERING MECHANICS PHYSICS AND SCIENCE","Engineering",2425,1633,54,105500.655235762,87000,45000,133000,3.3
"ENGINEERING TECHNOLOGIES","Engineering",2688,2092,92,76425.6500956023,65000,40000,98000,4.4
"ENGLISH LANGUAGE AND LITERATURE","Humanities & Liberal Arts",113221,72463,3053,69008.3357713592,50000,25000,80000,4.2
"ENVIRONMENTAL ENGINEERING","Engineering",1627,1303,39,82951.1665387567,70000,39700,102750,3
"ENVIRONMENTAL SCIENCE","Biology & Life Science",9626,7993,355,63984.3347929438,50000,28000,80000,4.4
"FAMILY AND CONSUMER SCIENCES","Industrial Arts & Consumer Services",31800,19221,667,47660.6274907653,39500,20100,60000,3.5
"FILM VIDEO AND PHOTOGRAPHIC ARTS","Arts",8676,6869,554,55850.4085019654,40000,20000,67000,8.1
"FINANCE","Business",59856,48849,1687,105641.813384102,74000,42900,120000,3.5
"FINE ARTS","Arts",41322,27044,1422,52878.0554651679,40000,20000,65000,5.3
"FOOD SCIENCE","Agriculture & Natural Resources",2386,1745,61,78686.5638968481,60000,34000,98000,3.5
"FORESTRY","Agriculture & Natural Resources",5762,3754,107,69018.6321257325,57000,34517.5,85000,2.9
"FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES","Humanities & Liberal Arts",25697,16161,590,66093.0603923025,49000,25000,80000,3.7
"GENERAL AGRICULTURE","Agriculture & Natural Resources",10083,6731,127,68372.0597236666,50000,28160,80000,1.9
"GENERAL BUSINESS","Business",144249,101723,3738,86545.6877992194,60000,35000,1e+05,3.7
"GENERAL EDUCATION","Education",139060,75175,2034,52671.4371533089,45000,28000,65000,2.7
"GENERAL ENGINEERING","Engineering",35252,24179,846,99267.671615865,80000,47500,120000,3.5
"GENERAL MEDICAL AND HEALTH SERVICES","Health",9723,7431,286,61607.5186381375,50000,26000,77000,3.8
"GENERAL SOCIAL SCIENCES","Social Science",11425,6809,326,63118.1436334263,48000,26000,78000,4.8
"GENETICS","Biology & Life Science",1053,859,15,98064.7974388824,60000,35050,110000,1.7
"GEOGRAPHY","Social Science",9949,7213,306,67525.5424927215,54200,31000,85000,4.2
"GEOLOGICAL AND GEOPHYSICAL ENGINEERING","Engineering",608,407,10,107420.540540541,86000,48550,130000,2.5
"GEOLOGY AND EARTH SCIENCE","Physical Sciences",11970,8314,329,88704.3076738032,65000,37000,103000,4
"GEOSCIENCES","Physical Sciences",992,771,25,96119.261997406,72000,37400,115500,3.2
"HEALTH AND MEDICAL ADMINISTRATIVE SERVICES","Health",9961,7672,364,65377.2718978102,50000,30000,81000,4.7
"HEALTH AND MEDICAL PREPARATORY PROGRAMS","Health",7522,4834,125,150944.125362019,99000,47250,2e+05,2.6
"HISTORY","Humanities & Liberal Arts",78611,51697,1941,83111.9892837108,55000,30000,96800,3.8
"HOSPITALITY MANAGEMENT","Business",12305,10055,401,59022.3265042268,44000,25000,70000,4
"HUMAN RESOURCES AND PERSONNEL MANAGEMENT","Business",14193,10545,506,71125.5828354671,54000,33300,85000,4.8
"HUMAN SERVICES AND COMMUNITY ORGANIZATION","Psychology & Social Work",6613,4921,274,46683.741515952,39000,24000,56000,5.6
"HUMANITIES","Humanities & Liberal Arts",4169,2696,150,60635.271884273,43000,22000,73000,5.6
"INDUSTRIAL AND MANUFACTURING ENGINEERING","Engineering",12724,9273,331,104616.460584493,84000,50000,121000,3.6
"INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY","Psychology & Social Work",1723,1154,78,79855.7287694974,56500,30000,1e+05,6.8
"INDUSTRIAL PRODUCTION TECHNOLOGIES","Engineering",5818,4235,176,82715.8165289256,70000,44000,1e+05,4.2
"INFORMATION SCIENCES","Computers & Mathematics",6072,5202,202,84302.0651672434,75000,46000,105000,3.9
"INTERCULTURAL AND INTERNATIONAL STUDIES","Humanities & Liberal Arts",5420,4301,237,64701.9453615438,45000,23000,75000,5.5
"INTERDISCIPLINARY SOCIAL SCIENCES","Social Science",5490,3865,193,60368.5547218629,45000,25500,72000,5
"INTERNATIONAL BUSINESS","Business",6664,5347,236,76174.4048999439,56000,33200,90000,4.4
"INTERNATIONAL RELATIONS","Social Science",8789,6635,294,90625.3773926149,62000,33950,108000,4.4
"JOURNALISM","Communications & Journalism",29776,22110,987,69050.2041157847,50000,30000,83150,4.5
"LANGUAGE AND DRAMA EDUCATION","Education",21873,12408,371,49238.1178272083,45000,25000,63000,3
"LIBERAL ARTS","Humanities & Liberal Arts",44218,29477,1307,63793.847202904,48000,26000,78000,4.4
"LIBRARY SCIENCE","Education",2650,1155,29,50964.4943722944,45000,25000,65000,2.5
"LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE","Humanities & Liberal Arts",7181,4577,264,62105.0395455539,46000,22000,76000,5.8
"MANAGEMENT INFORMATION SYSTEMS AND STATISTICS","Business",11865,10197,313,89062.9273315681,78000,50000,110000,3.1
"MARKETING AND MARKETING RESEARCH","Business",68875,54062,2143,77355.3152306611,55000,32900,92000,4
"MASS MEDIA","Communications & Journalism",14991,12203,702,58860.3506514791,45000,25000,72000,5.8
"MATERIALS ENGINEERING AND MATERIALS SCIENCE","Engineering",2390,1720,48,91893.9441860465,80000,44000,115000,2.8
"MATERIALS SCIENCE","Engineering",1328,1095,39,100283.397260274,86000,47250,125000,3.6
"MATHEMATICS AND COMPUTER SCIENCE","Computers & Mathematics",885,711,23,104290.956399437,90000,52000,128250,3.2
"MATHEMATICS TEACHER EDUCATION","Education",8961,5518,106,52829.8883653498,48000,30000,65000,1.9
"MATHEMATICS","Computers & Mathematics",49933,31450,1018,90489.2224801272,68000,36000,110000,3.2
"MECHANICAL ENGINEERING RELATED TECHNOLOGIES","Engineering",2130,1735,51,79555.7521613833,68000,41350,96650,2.9
"MECHANICAL ENGINEERING","Engineering",53293,38785,1173,105895.121825448,90000,59000,125000,3
"MEDICAL ASSISTING SERVICES","Health",4667,3518,95,60142.8399658897,50000,30000,73000,2.7
"MEDICAL TECHNOLOGIES TECHNICIANS","Health",11990,8536,228,69091.404873477,58000,38000,80000,2.7
"METALLURGICAL ENGINEERING","Engineering",1458,856,26,117977.394859813,1e+05,59750,140000,3
"MICROBIOLOGY","Biology & Life Science",8231,5922,198,103447.845491388,70000,40000,120000,3.3
"MILITARY TECHNOLOGIES","Industrial Arts & Consumer Services",433,171,9,96652.0467836257,72000,39000,120000,5.3
"MINING AND MINERAL ENGINEERING","Engineering",1019,674,29,116216.040059347,96000,58000,140000,4.3
"MISCELLANEOUS AGRICULTURE","Agriculture & Natural Resources",1109,788,17,59945.5215736041,48000,30000,74000,2.2
"MISCELLANEOUS BIOLOGY","Biology & Life Science",3793,2906,101,69118.3847212663,50000,30000,80000,3.5
"MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION","Business",7171,5334,261,75965.088863892,55000,30000,90000,4.9
"MISCELLANEOUS EDUCATION","Education",23991,11763,347,56829.7295757885,50000,26000,70000,2.9
"MISCELLANEOUS ENGINEERING TECHNOLOGIES","Engineering",4611,3744,164,79408.5339209402,68000,42000,1e+05,4.4
"MISCELLANEOUS ENGINEERING","Engineering",5216,3952,146,92707.8157894737,75000,42000,112000,3.7
"MISCELLANEOUS FINE ARTS","Arts",715,550,44,44295.1818181818,35000,20000,57750,8
"MISCELLANEOUS HEALTH MEDICAL PROFESSIONS","Health",7193,4920,199,55683.4642276423,42900,24000,65000,4
"MISCELLANEOUS PSYCHOLOGY","Psychology & Social Work",3726,2662,113,73890.4620586026,50000,26000,85000,4.2
"MISCELLANEOUS SOCIAL SCIENCES","Social Science",1785,1336,49,81552.2387724551,60000,34000,97000,3.7
"MOLECULAR BIOLOGY","Biology & Life Science",3967,3224,113,106553.971774194,65000,37000,124000,3.5
"MULTI-DISCIPLINARY OR GENERAL SCIENCE","Physical Sciences",28931,19795,682,86215.5600404142,60000,34000,1e+05,3.4
"MULTI/INTERDISCIPLINARY STUDIES","Interdisciplinary",4134,3338,150,49196.7309766327,43000,26825,56000,4.5
"MUSIC","Arts",27464,19330,695,52272.6555613037,40000,19000,65000,3.6
"NATURAL RESOURCES MANAGEMENT","Agriculture & Natural Resources",7210,5673,176,63620.7972853869,50000,30000,76000,3.1
"NAVAL ARCHITECTURE AND MARINE ENGINEERING","Engineering",1518,925,28,110716.767567568,1e+05,55000,135000,3
"NEUROSCIENCE","Biology & Life Science",1931,1497,74,81383.0808283233,50000,25000,90000,4.9
"NUCLEAR ENGINEERING","Engineering",1104,833,26,120084.424969988,104000,65000,148000,3.1
"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES","Physical Sciences",777,639,17,69785.524256651,59000,37850,85000,2.7
"NURSING","Health",135773,97762,1985,69540.9702849778,62000,40000,85000,2
"NUTRITION SCIENCES","Health",6375,4573,172,59630.9516728625,45000,24000,70000,3.8
"OCEANOGRAPHY","Physical Sciences",1040,766,31,74206.9451697128,57500,31000,99000,4
"OPERATIONS LOGISTICS AND E-COMMERCE","Business",4493,3724,117,80060.6670247046,66000,42000,1e+05,3.1
"OTHER FOREIGN LANGUAGES","Humanities & Liberal Arts",5980,3803,178,68991.2753089666,47500,24000,81500,4.7
"PETROLEUM ENGINEERING","Engineering",1643,1130,44,168348.169026549,120000,61000,222750,3.9
"PHARMACOLOGY","Biology & Life Science",711,567,12,109680.599647266,92000,45000,130000,2.1
"PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION","Health",18675,13320,308,110343.566666667,101000,58000,130000,2.3
"PHILOSOPHY AND RELIGIOUS STUDIES","Humanities & Liberal Arts",26616,18076,727,74046.7083978756,48900,25000,85000,4
"PHYSICAL AND HEALTH EDUCATION TEACHING","Education",27220,16849,484,58306.4199655766,50000,28000,72000,2.9
"PHYSICAL FITNESS PARKS RECREATION AND LEISURE","Industrial Arts & Consumer Services",28881,23743,765,53615.6414522175,43000,24000,65000,3.2
"PHYSICAL SCIENCES","Physical Sciences",866,566,14,90485.9540636042,65000,33000,110000,2.5
"PHYSICS","Physical Sciences",19771,13452,457,105610.014719001,85000,43000,131000,3.4
"PHYSIOLOGY","Biology & Life Science",6042,4784,155,93760.6906354515,60000,30000,1e+05,3.2
"PLANT SCIENCE AND AGRONOMY","Agriculture & Natural Resources",6918,5091,142,64691.0530347672,50000,29150,80000,2.8
"POLITICAL SCIENCE AND GOVERNMENT","Social Science",80105,59011,2489,98977.2442087068,68000,36000,119000,4.2
"PRE-LAW AND LEGAL STUDIES","Law & Public Policy",5029,3681,176,70709.4572127139,50000,30000,80000,4.8
"PSYCHOLOGY","Psychology & Social Work",151333,108863,4566,63803.3382232715,47000,25000,75000,4.2
"PUBLIC ADMINISTRATION","Law & Public Policy",5413,3725,205,76690.787114094,60000,35000,96000,5.5
"PUBLIC POLICY","Law & Public Policy",1862,1503,80,100671.19760479,68000,39750,118000,5.3
"SCHOOL STUDENT COUNSELING","Education",1434,798,25,51997.9085213033,50000,30000,65000,3.1
"SCIENCE AND COMPUTER TEACHER EDUCATION","Education",7689,4405,107,57088.7884222474,50000,30000,70000,2.4
"SECONDARY TEACHER EDUCATION","Education",27258,13310,346,53990.26040571,48000,27125,68000,2.6
"SOCIAL PSYCHOLOGY","Psychology & Social Work",987,602,32,62165.415282392,48000,28400,76000,5.3
"SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION","Education",14120,7911,264,55543.4828719505,45400,26000,67000,3.3
"SOCIAL WORK","Psychology & Social Work",32732,22996,814,48579.9562097756,41300,26000,60000,3.5
"SOCIOLOGY","Social Science",58357,38079,1626,61037.0348486042,47000,26200,75000,4.3
"SOIL SCIENCE","Agriculture & Natural Resources",612,424,22,66540.6132075472,58500,35000,87000,5.2
"SPECIAL NEEDS EDUCATION","Education",20319,14076,312,51335.373827792,48000,31000,65000,2.2
"STATISTICS AND DECISION SCIENCE","Computers & Mathematics",2673,1965,72,93660.1430025445,72000,38000,110000,3.7
"STUDIO ARTS","Arts",6414,4762,243,44748.590298194,35000,17100,57000,5.1
"TEACHER EDUCATION: MULTIPLE LEVELS","Education",9703,5933,123,46001.566998146,42600,28000,58000,2.1
"THEOLOGY AND RELIGIOUS VOCATIONS","Humanities & Liberal Arts",24376,16378,480,46013.1334717304,36500,20800,56000,2.9
"TRANSPORTATION SCIENCES AND TECHNOLOGIES","Industrial Arts & Consumer Services",8617,6503,203,91389.2302014455,74000,41000,115000,3.1
"TREATMENT THERAPY PROFESSIONS","Health",22445,17814,358,66224.8145278994,59000,34725,82000,2
"UNITED STATES HISTORY","Humanities & Liberal Arts",2045,1145,44,87318.1056768559,60000,30000,1e+05,3.8
"VISUAL AND PERFORMING ARTS","Arts",3981,3093,174,46082.4397025542,35000,17900,58000,5.6
"ZOOLOGY","Biology & Life Science",9414,6381,159,121489.283497884,76000,40000,150000,2.5
