"Major","Major_Category","total_majors","employed","unemployed","mean_earnings","median_earnings","quantile(PERNP, 0.25)","quantile(PERNP, 0.75)","unemployment_rate"
"ACCOUNTING","Business",7037,5844,316,38738.9221423682,38000,20000,53000,5.4
"ACTUARIAL SCIENCE","Business",174,146,12,54212.3287671233,54500,30000,73000,8.2
"ADVERTISING AND PUBLIC RELATIONS","Communications & Journalism",2210,1908,123,33854.9109014675,32000,18000,45000,6.4
"AEROSPACE ENGINEERING","Engineering",658,510,25,49561.8039215686,54000,25000,68000,4.9
"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",134,120,5,44466.6666666667,43000,24000,60000,4.2
"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",779,719,20,37728.4853963839,35000,20800,48000,2.8
"ANIMAL SCIENCES","Agriculture & Natural Resources",1099,863,45,26483.2213209733,24000,12000,36450,5.2
"ANTHROPOLOGY AND ARCHEOLOGY","Humanities & Liberal Arts",1717,1324,136,23449.3051359517,20000,10000,33000,10.3
"APPLIED MATHEMATICS","Computers & Mathematics",226,157,19,45807.3248407643,38000,15000,65000,12.1
"ARCHITECTURAL ENGINEERING","Engineering",91,81,4,44112.8395061728,48000,25300,62000,4.9
"ARCHITECTURE","Engineering",1738,1383,100,31366.3412870571,30000,12950,44850,7.2
"AREA ETHNIC AND CIVILIZATION STUDIES","Humanities & Liberal Arts",1292,1000,82,27716.46,24000,11075,38000,8.2
"ART AND MUSIC EDUCATION","Education",1500,1329,52,26593.0248306998,27600,12100,38000,3.9
"ART HISTORY AND CRITICISM","Humanities & Liberal Arts",751,617,38,25171.1896272285,24000,12000,36000,6.2
"ASTRONOMY AND ASTROPHYSICS","Physical Sciences",56,44,3,30361.3636363636,26000,9950,40000,6.8
"ATMOSPHERIC SCIENCES AND METEOROLOGY","Physical Sciences",158,130,10,26676.6923076923,24500,12000,35825,7.7
"BIOCHEMICAL SCIENCES","Biology & Life Science",1678,1089,62,28170.624426079,25000,11000,39600,5.7
"BIOLOGICAL ENGINEERING","Engineering",357,266,15,38888.2330827068,35000,15925,56000,5.6
"BIOLOGY","Biology & Life Science",11516,7560,574,24443.5568783069,20000,9600,34000,7.6
"BIOMEDICAL ENGINEERING","Engineering",619,422,25,39095.1421800948,32000,15000,60000,5.9
"BOTANY","Biology & Life Science",35,29,1,27437.5862068966,25000,20000,32000,3.4
"BUSINESS ECONOMICS","Business",615,531,31,42988.3258003766,38200,20000,56000,5.8
