"Major","Major_Category","total_majors","employed","unemployed","mean_earnings","median_earnings","quantile(PERNP, 0.25)","quantile(PERNP, 0.75)","unemployment_rate"
"ACCOUNTING","Business",47298,35227,1279,64129.3462968746,51000,30000,80000,3.6
"ACTUARIAL SCIENCE","Business",230,187,7,87378.6096256685,70000,50000,102500,3.7
"ADVERTISING AND PUBLIC RELATIONS","Communications & Journalism",6741,5305,235,51104.1981149859,40000,25000,63000,4.4
"AEROSPACE ENGINEERING","Engineering",306,250,3,75440.524,70000,50000,94000,1.2
"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",382,290,6,50666.3793103448,41100,24050,70000,2.1
"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1377,1079,28,45638.2511584801,38500,21500,58000,2.6
"ANIMAL SCIENCES","Agriculture & Natural Resources",3152,2481,80,39219.074566707,32600,17100,50000,3.2
"ANTHROPOLOGY AND ARCHEOLOGY","Humanities & Liberal Arts",5322,3659,201,40636.6192948893,32000,15000,51000,5.5
"APPLIED MATHEMATICS","Computers & Mathematics",453,320,14,70431.125,62500,30000,95000,4.4
"ARCHITECTURAL ENGINEERING","Engineering",186,130,10,58941.5384615385,53000,33475,75000,7.7
"ARCHITECTURE","Engineering",4725,3323,193,51696.2964188986,43200,22350,67500,5.8
"AREA ETHNIC AND CIVILIZATION STUDIES","Humanities & Liberal Arts",3884,2690,155,46332.5710037175,35000,18000,56000,5.8
"ART AND MUSIC EDUCATION","Education",9051,5375,137,34924.4303255814,32000,14800,47000,2.5
"ART HISTORY AND CRITICISM","Humanities & Liberal Arts",4367,2755,124,48907.0929219601,36000,18000,60000,4.5
"ASTRONOMY AND ASTROPHYSICS","Physical Sciences",84,65,1,44973.0769230769,38000,24000,63000,1.5
"ATMOSPHERIC SCIENCES AND METEOROLOGY","Physical Sciences",194,151,7,46524.9668874172,34000,20000,59500,4.6
"BIOCHEMICAL SCIENCES","Biology & Life Science",2025,1394,71,46593.5724533716,37450,18000,64000,5.1
"BIOLOGICAL ENGINEERING","Engineering",391,284,17,52212.323943662,45000,21000,70000,6
"BIOLOGY","Biology & Life Science",26261,17766,845,45802.3238770686,38000,19400,60000,4.8
"BIOMEDICAL ENGINEERING","Engineering",489,347,13,59856.1959654179,48000,21000,78000,3.7
"BOTANY","Biology & Life Science",405,231,5,45664.1125541126,34600,18000,60000,2.2
"BUSINESS ECONOMICS","Business",1382,1057,46,65447.4001892148,50000,27000,80000,4.4
"BUSINESS MANAGEMENT AND ADMINISTRATION","Business",72433,53688,2373,55371.1659029951,45000,28000,70000,4.4
"CHEMICAL ENGINEERING","Engineering",2764,2014,82,80196.8768619662,70000,35000,1e+05,4.1
"CHEMISTRY","Physical Sciences",6813,4064,200,53135.7682086614,43000,22000,70000,4.9
"CIVIL ENGINEERING","Engineering",2946,2239,95,65944.174184904,62000,34000,87000,4.2
"CLINICAL PSYCHOLOGY","Psychology & Social Work",318,194,17,35065.7783505155,30000,16000,47750,8.8
"COGNITIVE SCIENCE AND BIOPSYCHOLOGY","Biology & Life Science",221,165,4,42274.2424242424,30000,13500,55000,2.4
"COMMERCIAL ART AND GRAPHIC DESIGN","Arts",18226,13265,678,45442.2569166981,37000,20000,58000,5.1
"COMMUNICATION DISORDERS SCIENCES AND SERVICES","Health",3974,2425,98,35891.9121649485,30000,13000,48000,4
"COMMUNICATION TECHNOLOGIES","Computers & Mathematics",1228,953,66,44007.1038824764,36000,20000,55000,6.9
"COMMUNICATIONS","Communications & Journalism",31224,23856,1120,52075.4525905433,40900,24000,65000,4.7
"COMMUNITY AND PUBLIC HEALTH","Health",2703,1975,99,40855.7113924051,35000,18800,54000,5
"COMPOSITION AND RHETORIC","Humanities & Liberal Arts",1982,1457,103,38688.772134523,30000,15000,50000,7.1
"COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY","Computers & Mathematics",678,512,40,53253.126953125,45000,28000,72000,7.8
"COMPUTER AND INFORMATION SYSTEMS","Computers & Mathematics",4461,3425,170,62438.7798540146,55000,32000,85000,5
