"Major","mean_earnings","median_earnings","two.five <- quantile(PERNP, 0.25)","seven.five <- quantile(PERNP, 0.75)","total_majors","number_employed","number_unemployed","unemployment_rate"
"ACCOUNTING",82854.2462255386,60000,35000,99000,94405,68884,2592,3.8
"ACTUARIAL SCIENCE",105567.835051546,75000,47000,125000,581,485,18,3.7
"ADVERTISING AND PUBLIC RELATIONS",60876.823265662,45000,27500,75000,10043,8029,373,4.6
"AEROSPACE ENGINEERING",94050.9340248963,80000,50000,120000,3565,2410,72,3
"AGRICULTURAL ECONOMICS",85824.2755729458,60000,37000,1e+05,2396,1789,32,1.8
"AGRICULTURE PRODUCTION AND MANAGEMENT",69458.7995333463,50000,31000,81000,6410,5143,108,2.1
"ANIMAL SCIENCES",55545.301242236,41800,24000,68500,6598,5152,127,2.5
"ANTHROPOLOGY AND ARCHEOLOGY",47365.4838148277,36000,18000,60000,8217,5746,387,6.7
"APPLIED MATHEMATICS",88469.2526690391,76000,40000,115000,1142,843,41,4.9
"ARCHITECTURAL ENGINEERING",84457.0118343195,68000,40000,102000,955,676,29,4.3
"ARCHITECTURE",70344.9399005487,56000,31200,88000,15479,11664,535,4.6
"AREA ETHNIC AND CIVILIZATION STUDIES",54870.0868613139,39000,20000,65000,5796,4110,240,5.8
"ART AND MUSIC EDUCATION",39529.6420300567,35000,17925,50000,12809,8118,217,2.7
"ART HISTORY AND CRITICISM",52304.2966999697,38000,19550,62000,5132,3303,155,4.7
"ASTRONOMY AND ASTROPHYSICS",61516.6666666667,46500,24000,83700,245,177,11,6.2
"ATMOSPHERIC SCIENCES AND METEOROLOGY",68075.9459459459,52000,28700,99000,833,629,26,4.1
"BIOCHEMICAL SCIENCES",56999.0132879046,40000,22000,73000,4167,2935,148,5
"BIOLOGICAL ENGINEERING",73893.805651275,56000,30000,92000,1972,1451,50,3.4
"BIOLOGY",56026.2577629069,43000,22000,70000,46450,31979,1580,4.9
"BIOMEDICAL ENGINEERING",69403.0829596413,55000,26000,87000,1206,892,46,5.2
"BOTANY",54873.6748329621,42800,24000,71000,752,449,13,2.9
"BUSINESS ECONOMICS",88631.7056603774,62000,35000,1e+05,4285,3180,143,4.5
"BUSINESS MANAGEMENT AND ADMINISTRATION",71981.3236536301,55000,32600,87000,166948,121939,5171,4.2
"CHEMICAL ENGINEERING",100231.466490545,84000,49000,120000,10451,7192,259,3.6
"CHEMISTRY",67772.2245698762,51000,27000,87000,16283,9939,465,4.7
"CIVIL ENGINEERING",89875.5522975633,75000,50000,107000,20353,14733,496,3.4
"CLINICAL PSYCHOLOGY",39245.7075812274,32000,18000,50000,458,277,25,9
"COGNITIVE SCIENCE AND BIOPSYCHOLOGY",60774.8511904762,40000,19000,80000,426,336,13,3.9
"COMMERCIAL ART AND GRAPHIC DESIGN",52011.8592642592,40000,22500,65000,27397,20741,1110,5.4
"COMMUNICATION DISORDERS SCIENCES AND SERVICES",37704.0224164134,30100,13200,50000,4275,2632,108,4.1
