"Major","mean_earnings","median_earnings","two.five <- quantile(PERNP, 0.25)","seven.five <- quantile(PERNP, 0.75)","total_majors","number_employed","number_unemployed","unemployment_rate"
"ACCOUNTING",64129.3462968746,51000,30000,80000,47298,35227,1279,3.6
"ACTUARIAL SCIENCE",87378.6096256685,70000,50000,102500,230,187,7,3.7
"ADVERTISING AND PUBLIC RELATIONS",51104.1981149859,40000,25000,63000,6741,5305,235,4.4
"AEROSPACE ENGINEERING",75440.524,70000,50000,94000,306,250,3,1.2
"AGRICULTURAL ECONOMICS",50666.3793103448,41100,24050,70000,382,290,6,2.1
"AGRICULTURE PRODUCTION AND MANAGEMENT",45638.2511584801,38500,21500,58000,1377,1079,28,2.6
"ANIMAL SCIENCES",39219.074566707,32600,17100,50000,3152,2481,80,3.2
"ANTHROPOLOGY AND ARCHEOLOGY",40636.6192948893,32000,15000,51000,5322,3659,201,5.5
"APPLIED MATHEMATICS",70431.125,62500,30000,95000,453,320,14,4.4
"ARCHITECTURAL ENGINEERING",58941.5384615385,53000,33475,75000,186,130,10,7.7
"ARCHITECTURE",51696.2964188986,43200,22350,67500,4725,3323,193,5.8
"AREA ETHNIC AND CIVILIZATION STUDIES",46332.5710037175,35000,18000,56000,3884,2690,155,5.8
"ART AND MUSIC EDUCATION",34924.4303255814,32000,14800,47000,9051,5375,137,2.5
"ART HISTORY AND CRITICISM",48907.0929219601,36000,18000,60000,4367,2755,124,4.5
"ASTRONOMY AND ASTROPHYSICS",44973.0769230769,38000,24000,63000,84,65,1,1.5
"ATMOSPHERIC SCIENCES AND METEOROLOGY",46524.9668874172,34000,20000,59500,194,151,7,4.6
"BIOCHEMICAL SCIENCES",46593.5724533716,37450,18000,64000,2025,1394,71,5.1
"BIOLOGICAL ENGINEERING",52212.323943662,45000,21000,70000,391,284,17,6
"BIOLOGY",45802.3238770686,38000,19400,60000,26261,17766,845,4.8
"BIOMEDICAL ENGINEERING",59856.1959654179,48000,21000,78000,489,347,13,3.7
"BOTANY",45664.1125541126,34600,18000,60000,405,231,5,2.2
"BUSINESS ECONOMICS",65447.4001892148,50000,27000,80000,1382,1057,46,4.4
"BUSINESS MANAGEMENT AND ADMINISTRATION",55371.1659029951,45000,28000,70000,72433,53688,2373,4.4
"CHEMICAL ENGINEERING",80196.8768619662,70000,35000,1e+05,2764,2014,82,4.1
"CHEMISTRY",53135.7682086614,43000,22000,70000,6813,4064,200,4.9
"CIVIL ENGINEERING",65944.174184904,62000,34000,87000,2946,2239,95,4.2
"CLINICAL PSYCHOLOGY",35065.7783505155,30000,16000,47750,318,194,17,8.8
"COGNITIVE SCIENCE AND BIOPSYCHOLOGY",42274.2424242424,30000,13500,55000,221,165,4,2.4
"COMMERCIAL ART AND GRAPHIC DESIGN",45442.2569166981,37000,20000,58000,18226,13265,678,5.1
"COMMUNICATION DISORDERS SCIENCES AND SERVICES",35891.9121649485,30000,13000,48000,3974,2425,98,4
"COMMUNICATION TECHNOLOGIES",44007.1038824764,36000,20000,55000,1228,953,66,6.9
"COMMUNICATIONS",52075.4525905433,40900,24000,65000,31224,23856,1120,4.7
"COMMUNITY AND PUBLIC HEALTH",40855.7113924051,35000,18800,54000,2703,1975,99,5
"COMPOSITION AND RHETORIC",38688.772134523,30000,15000,50000,1982,1457,103,7.1
