"Major","mean_earnings","median_earnings","two.five <- quantile(PERNP, 0.25)","seven.five <- quantile(PERNP, 0.75)","total_majors","number_employed","number_unemployed","unemployment_rate"
"ACCOUNTING",113784.842712789,81000,50000,130000,34625,27116,793,100
"ACTUARIAL SCIENCE",163240.974025974,111500,62250,194000,192,154,6,100
"ADVERTISING AND PUBLIC RELATIONS",77202.8679808841,60000,38125,90000,2007,1674,62,100
"AEROSPACE ENGINEERING",126193.254625905,108000,75000,150000,3609,2486,64,100
"AGRICULTURAL ECONOMICS",110985.279878971,75000,45000,130000,934,661,10,100
"AGRICULTURE PRODUCTION AND MANAGEMENT",89916.520295203,65000,40000,102000,1139,813,18,100
"ANIMAL SCIENCES",88948.439015939,70000,42000,101000,3505,2886,40,100
"ANTHROPOLOGY AND ARCHEOLOGY",79518.8269489894,58000,35000,91800,6955,5195,204,100
"APPLIED MATHEMATICS",120762.07518797,96000,55000,144500,1113,931,39,100
"ARCHITECTURAL ENGINEERING",95699.6644295302,80000,55000,116500,395,298,11,100
"ARCHITECTURE",85168.7283278407,65000,40000,1e+05,8858,6979,256,100
"AREA ETHNIC AND CIVILIZATION STUDIES",94267.1118814248,65000,40000,109000,5393,4183,123,100
"ART AND MUSIC EDUCATION",56300.7527440786,52000,30000,72000,11243,6924,136,100
"ART HISTORY AND CRITICISM",76064.5221995927,54000,30000,87000,3468,2455,84,100
"ASTRONOMY AND ASTROPHYSICS",104913.494809689,87000,52000,130000,370,289,10,100
"ATMOSPHERIC SCIENCES AND METEOROLOGY",88216.7779960707,77000,49000,115000,752,509,16,100
"BIOCHEMICAL SCIENCES",142219.538814229,94000,51000,178000,7515,6325,153,100
"BIOLOGICAL ENGINEERING",101471.227360308,73000,40850,120000,1347,1038,26,100
"BIOLOGY",136373.157534779,90000,50000,168000,64487,51468,984,100
"BIOMEDICAL ENGINEERING",120763.499650105,83400,50000,142000,1614,1429,36,100
"BOTANY",83134.4015957447,65000,38000,1e+05,1151,752,27,100
"BUSINESS ECONOMICS",124396.347857662,90000,52000,150000,1808,1377,48,100
"BUSINESS MANAGEMENT AND ADMINISTRATION",96412.1679483236,73000,43600,115000,48331,35761,1384,100
"CHEMICAL ENGINEERING",135432.260039593,105000,62000,156000,9873,7072,209,100
"CHEMISTRY",137080.32127129,1e+05,52000,166000,26991,18847,489,100
"CIVIL ENGINEERING",114556.686685552,95000,60000,131000,12074,8825,241,100
"CLINICAL PSYCHOLOGY",72989.3192488263,58000,30000,89250,1222,852,32,100
"COGNITIVE SCIENCE AND BIOPSYCHOLOGY",107835.078947368,75000,43750,130000,419,380,4,100
"COMMERCIAL ART AND GRAPHIC DESIGN",66846.3922261484,53000,30000,81000,3389,2547,124,100
"COMMUNICATION DISORDERS SCIENCES AND SERVICES",65567.2432179607,59000,40000,79000,11131,8552,129,100
"COMMUNICATION TECHNOLOGIES",67271.004784689,52500,33700,80000,521,418,21,100
"COMMUNICATIONS",78158.4155824159,60000,38000,91000,16452,12989,496,100
"COMMUNITY AND PUBLIC HEALTH",79467.6933256617,60000,37525,92000,2250,1738,61,100
"COMPOSITION AND RHETORIC",60663.4133333333,48700,28000,75000,1323,1050,52,100
"COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY",86145.7608695652,78500,50000,110000,689,552,30,100
"COMPUTER AND INFORMATION SYSTEMS",91442.0925691098,82000,52000,110000,4597,3943,107,100
"COMPUTER ENGINEERING",117707.092915703,1e+05,70000,140000,5438,4757,112,100
"COMPUTER NETWORKING AND TELECOMMUNICATIONS",91069.3474426808,75000,48000,110000,667,567,21,100
"COMPUTER PROGRAMMING AND DATA PROCESSING",96045.25,68000,39500,110177.5,316,240,10,100
"COMPUTER SCIENCE",114976.322410083,1e+05,65000,140000,19082,16265,462,100
"CONSTRUCTION SERVICES",97896.0985626283,75000,47050,120000,625,487,18,100
"COSMETOLOGY SERVICES AND CULINARY ARTS",54386.984375,40000,20000,64000,325,192,10,100
"COUNSELING PSYCHOLOGY",54893.991,46000,30000,65000,2910,2000,74,100
"COURT REPORTING",77461.7234042553,70000,48750,103500,69,47,1,100
"CRIMINAL JUSTICE AND FIRE PROTECTION",75054.0954550385,60000,38000,95000,11606,9219,336,100
"CRIMINOLOGY",75967.0039292731,60000,38000,92000,1320,1018,31,100
"DRAMA AND THEATER ARTS",65560.4348684211,50000,30000,78000,3996,3040,173,100
"EARLY CHILDHOOD EDUCATION",50200.6893305439,48950,35000,62000,5184,3824,81,100
"ECOLOGY",81193.3869944489,60000,37000,95000,1517,1261,37,100
"ECONOMICS",144773.397087689,1e+05,53000,174000,30296,21907,709,100
"EDUCATIONAL ADMINISTRATION AND SUPERVISION",66271.1075211864,60000,42000,83000,3194,1888,34,100
"EDUCATIONAL PSYCHOLOGY",62221.2031088083,56000,40000,80000,1525,965,21,100
"ELECTRICAL ENGINEERING",130412.085239664,110000,74000,150000,29098,21551,639,100
"ELECTRICAL ENGINEERING TECHNOLOGY",98953.4251012146,89000,60000,123000,1537,1235,45,100
"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",76212.1212121212,50000,32000,1e+05,191,132,11,100
"ELEMENTARY EDUCATION",53907.1762050193,52000,36900,68000,68081,37655,569,100
"ENGINEERING AND INDUSTRIAL MANAGEMENT",119552.125368732,98000,54250,144675,1167,678,31,100
"ENGINEERING MECHANICS PHYSICS AND SCIENCE",125546.833156217,106000,60000,150000,1403,941,33,100
"ENGINEERING TECHNOLOGIES",86060.1443298969,72000,45000,106000,631,485,18,100
"ENGLISH LANGUAGE AND LITERATURE",82547.6365153916,60000,35000,94000,53901,35344,1079,100
"ENVIRONMENTAL ENGINEERING",96458.785942492,82500,50000,119500,767,626,20,100
"ENVIRONMENTAL SCIENCE",82485.3395477985,65000,41000,1e+05,2939,2521,74,100
"FAMILY AND CONSUMER SCIENCES",60352.8551277796,51000,33000,75000,9221,6026,153,100
"FILM VIDEO AND PHOTOGRAPHIC ARTS",68076.7259120674,50000,30000,80000,1365,1069,81,100
"FINANCE",132957.737314463,96000,57000,150000,17545,14485,451,100
"FINE ARTS",62207.0276662844,50000,25000,76000,10597,6976,286,100
"FOOD SCIENCE",95329.4320457797,70000,43000,114500,925,699,12,100
"FORESTRY",84446.5846613546,70000,42000,105000,1517,1004,27,100
"FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES",78098.7524150268,60000,34000,90000,13135,8385,243,100
"GENERAL AGRICULTURE",83963.6096698113,62000,37000,1e+05,2595,1696,31,100
"GENERAL BUSINESS",109705.854684434,80000,45000,129000,33787,24464,842,100
"GENERAL EDUCATION",60021.9377392541,54000,36000,75000,65310,36572,794,100
"GENERAL ENGINEERING",119498.471605744,1e+05,59000,145000,13183,9192,276,100
"GENERAL MEDICAL AND HEALTH SERVICES",81831.1456953642,65000,43000,95000,3715,3020,71,100
"GENERAL SOCIAL SCIENCES",77695.1644479248,60000,34125,93000,4366,2554,107,100
"GENETICS",116647.366554054,74500,42825,135000,708,592,11,100
"GEOGRAPHY",81359.090947192,68000,42000,1e+05,3324,2386,89,100
"GEOLOGICAL AND GEOPHYSICAL ENGINEERING",121477.380952381,95500,50750,140000,267,168,5,100
"GEOLOGY AND EARTH SCIENCE",104572.118824424,78000,48000,120000,5601,3947,113,100
"GEOSCIENCES",114118.329718004,90000,48000,140000,568,461,7,100
"HEALTH AND MEDICAL ADMINISTRATIVE SERVICES",89384.5740905058,72000,43000,105000,2886,2254,97,100
"HEALTH AND MEDICAL PREPARATORY PROGRAMS",171346.49735583,120000,60000,256000,5968,3971,77,100
"HISTORY",101515.198267055,68000,40000,115000,39253,26429,724,100
"HOSPITALITY MANAGEMENT",81343.3396072013,60000,36000,99750,1541,1222,53,100
"HUMAN RESOURCES AND PERSONNEL MANAGEMENT",90412.7604199809,70000,41300,105000,4145,3143,150,100
"HUMAN SERVICES AND COMMUNITY ORGANIZATION",59554.7342896175,50000,34000,70000,1856,1464,54,100
"HUMANITIES",75847.8419083255,55000,30000,90000,1597,1069,47,100
"INDUSTRIAL AND MANUFACTURING ENGINEERING",124661.975817167,1e+05,62000,145000,4991,3763,131,100
"INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY",92005.0309477756,65000,36000,114000,800,517,34,100
