"Major","mean_earnings","median_earnings","two.five <- quantile(PERNP, 0.25)","seven.five <- quantile(PERNP, 0.75)","total_majors","number_employed","number_unemployed","unemployment_rate"
"ACCOUNTING",102452.607629914,72000,41800,120000,47107,33657,1313,3.9
"ACTUARIAL SCIENCE",116981.879194631,79500,44250,140000,351,298,11,3.7
"ADVERTISING AND PUBLIC RELATIONS",79909.0466226138,59000,35000,96000,3302,2724,138,5.1
"AEROSPACE ENGINEERING",96204.9166666667,84300,51000,120000,3259,2160,69,3.2
"AGRICULTURAL ECONOMICS",92626.003335557,65000,40000,106000,2014,1499,26,1.7
"AGRICULTURE PRODUCTION AND MANAGEMENT",75783.2020177165,55000,35000,90000,5033,4064,80,2
"ANIMAL SCIENCES",70710.171471359,52000,32800,83000,3446,2671,47,1.8
"ANTHROPOLOGY AND ARCHEOLOGY",59162.7599425012,42000,24000,75000,2895,2087,186,8.9
"APPLIED MATHEMATICS",99505.965583174,84000,50000,122500,689,523,27,5.2
"ARCHITECTURAL ENGINEERING",90532.1245421245,72000,42125,108850,769,546,19,3.5
"ARCHITECTURE",77774.4378371898,62000,36000,96000,10754,8341,342,4.1
"AREA ETHNIC AND CIVILIZATION STUDIES",71043.2683098592,47500,26000,81250,1912,1420,85,6
"ART AND MUSIC EDUCATION",48553.7079839592,42000,25000,60000,3758,2743,80,2.9
"ART HISTORY AND CRITICISM",69383.3047445256,46600,24975,77500,765,548,31,5.7
"ASTRONOMY AND ASTROPHYSICS",71117.8571428571,50000,24375,100750,161,112,10,8.9
"ATMOSPHERIC SCIENCES AND METEOROLOGY",74883.8912133891,60000,32000,103000,639,478,19,4
"BIOCHEMICAL SCIENCES",66411.8520441272,46000,25000,83000,2142,1541,77,5
"BIOLOGICAL ENGINEERING",79170.1902313625,60000,32750,1e+05,1581,1167,33,2.8
"BIOLOGY",68805.9952860058,50400,28000,86000,20189,14213,735,5.2
"BIOMEDICAL ENGINEERING",75481.5596330275,60000,28000,95000,717,545,33,6.1
"BOTANY",64632.4311926606,51000,27025,82275,347,218,8,3.7
