"Major","Major_Category","total_majors","employed","unemployed","mean_earnings","median_earnings","quantile(PERNP, 0.25)","quantile(PERNP, 0.75)","unemployment_rate"
"ACCOUNTING","Business",47107,33657,1313,102452.607629914,72000,41800,120000,3.9
"ACTUARIAL SCIENCE","Business",351,298,11,116981.879194631,79500,44250,140000,3.7
"ADVERTISING AND PUBLIC RELATIONS","Communications & Journalism",3302,2724,138,79909.0466226138,59000,35000,96000,5.1
"AEROSPACE ENGINEERING","Engineering",3259,2160,69,96204.9166666667,84300,51000,120000,3.2
"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",2014,1499,26,92626.003335557,65000,40000,106000,1.7
"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",5033,4064,80,75783.2020177165,55000,35000,90000,2
"ANIMAL SCIENCES","Agriculture & Natural Resources",3446,2671,47,70710.171471359,52000,32800,83000,1.8
"ANTHROPOLOGY AND ARCHEOLOGY","Humanities & Liberal Arts",2895,2087,186,59162.7599425012,42000,24000,75000,8.9
"APPLIED MATHEMATICS","Computers & Mathematics",689,523,27,99505.965583174,84000,50000,122500,5.2
"ARCHITECTURAL ENGINEERING","Engineering",769,546,19,90532.1245421245,72000,42125,108850,3.5
"ARCHITECTURE","Engineering",10754,8341,342,77774.4378371898,62000,36000,96000,4.1
"AREA ETHNIC AND CIVILIZATION STUDIES","Humanities & Liberal Arts",1912,1420,85,71043.2683098592,47500,26000,81250,6
"ART AND MUSIC EDUCATION","Education",3758,2743,80,48553.7079839592,42000,25000,60000,2.9
"ART HISTORY AND CRITICISM","Humanities & Liberal Arts",765,548,31,69383.3047445256,46600,24975,77500,5.7
"ASTRONOMY AND ASTROPHYSICS","Physical Sciences",161,112,10,71117.8571428571,50000,24375,100750,8.9
"ATMOSPHERIC SCIENCES AND METEOROLOGY","Physical Sciences",639,478,19,74883.8912133891,60000,32000,103000,4
"BIOCHEMICAL SCIENCES","Biology & Life Science",2142,1541,77,66411.8520441272,46000,25000,83000,5
"BIOLOGICAL ENGINEERING","Engineering",1581,1167,33,79170.1902313625,60000,32750,1e+05,2.8
"BIOLOGY","Biology & Life Science",20189,14213,735,68805.9952860058,50400,28000,86000,5.2
"BIOMEDICAL ENGINEERING","Engineering",717,545,33,75481.5596330275,60000,28000,95000,6.1
"BOTANY","Biology & Life Science",347,218,8,64632.4311926606,51000,27025,82275,3.7
"BUSINESS ECONOMICS","Business",2903,2123,97,100174.71596797,70000,40000,115000,4.6
"BUSINESS MANAGEMENT AND ADMINISTRATION","Business",94515,68251,2798,85047.3028966609,63300,39000,1e+05,4.1
"CHEMICAL ENGINEERING","Engineering",7687,5178,177,108023.985515643,90000,54000,130000,3.4
"CHEMISTRY","Physical Sciences",9470,5875,265,77896.9154042553,60000,30100,1e+05,4.5
"CIVIL ENGINEERING","Engineering",17407,12494,401,94164.1992956619,80000,50000,110000,3.2
"CLINICAL PSYCHOLOGY","Psychology & Social Work",140,83,8,49015.6626506024,38200,22800,59000,9.6
"COGNITIVE SCIENCE AND BIOPSYCHOLOGY","Biology & Life Science",205,171,9,78626.3157894737,50000,28000,95500,5.3
"COMMERCIAL ART AND GRAPHIC DESIGN","Arts",9171,7476,432,63668.5975120385,50000,29775,78000,5.8
"COMMUNICATION DISORDERS SCIENCES AND SERVICES","Health",301,207,10,58932.8502415459,50000,24500,78000,4.8
"COMMUNICATION TECHNOLOGIES","Computers & Mathematics",2372,1992,122,56956.7088353414,45000,27550,72000,6.1
"COMMUNICATIONS","Communications & Journalism",20791,17746,847,77034.595965288,55000,32500,92000,4.8
"COMMUNITY AND PUBLIC HEALTH","Health",1012,804,30,63677.7985074627,50000,28000,80000,3.7
"COMPOSITION AND RHETORIC","Humanities & Liberal Arts",1195,992,68,55382.6421370968,40000,22000,70000,6.9
"COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY","Computers & Mathematics",1954,1682,78,68942.9131985731,60000,38000,86000,4.6
"COMPUTER AND INFORMATION SYSTEMS","Computers & Mathematics",10236,8989,381,76971.6947380131,69700,45000,1e+05,4.2
"COMPUTER ENGINEERING","Engineering",7298,6434,203,97023.7398197078,85150,56000,120000,3.2
"COMPUTER NETWORKING AND TELECOMMUNICATIONS","Computers & Mathematics",1870,1652,75,70430.6598062954,58000,35000,90000,4.5
"COMPUTER PROGRAMMING AND DATA PROCESSING","Computers & Mathematics",1004,798,46,71402.9573934837,62000,36000,93000,5.8
"COMPUTER SCIENCE","Computers & Mathematics",30551,26632,919,95214.9818639231,83000,50000,120000,3.5
"CONSTRUCTION SERVICES","Industrial Arts & Consumer Services",4620,4068,106,84887.0796460177,70000,45275,1e+05,2.6
"COSMETOLOGY SERVICES AND CULINARY ARTS","Industrial Arts & Consumer Services",1303,1052,47,57019.6207224335,45000,27750,70000,4.5
"COUNSELING PSYCHOLOGY","Psychology & Social Work",267,203,8,49945.960591133,40000,23850,60000,3.9
"COURT REPORTING","Law & Public Policy",176,132,6,60863.6363636364,47500,30000,80000,4.5
"CRIMINAL JUSTICE AND FIRE PROTECTION","Law & Public Policy",25629,20241,758,64343.0573588261,54000,34000,81000,3.7
"CRIMINOLOGY","Social Science",2402,1815,94,63183.758677686,50000,31000,80000,5.2
"DRAMA AND THEATER ARTS","Arts",3783,3066,221,56588.92530985,40000,22000,68750,7.2
"EARLY CHILDHOOD EDUCATION","Education",279,221,10,49725.7918552036,38000,26000,52000,4.5
"ECOLOGY","Biology & Life Science",1154,946,47,60210.5718816068,47050,26000,75000,5
"ECONOMICS","Social Science",27298,19687,908,107186.252146086,70000,39450,120000,4.6
"EDUCATIONAL ADMINISTRATION AND SUPERVISION","Education",100,72,0,71293.0555555556,47000,25750,80000,0
"EDUCATIONAL PSYCHOLOGY","Psychology & Social Work",147,85,5,61794.1176470588,52000,30000,80000,5.9
"ELECTRICAL ENGINEERING TECHNOLOGY","Engineering",4227,3337,112,80854.2499250824,73000,48000,1e+05,3.4
"ELECTRICAL ENGINEERING","Engineering",33415,23671,813,101156.175320012,90000,56000,124000,3.4
"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION","Industrial Arts & Consumer Services",831,639,28,60615.7120500782,50000,30000,77500,4.4
"ELEMENTARY EDUCATION","Education",6784,4358,137,50405.8026617715,42000,28000,60000,3.1
"ENGINEERING AND INDUSTRIAL MANAGEMENT","Engineering",2289,1206,50,95758.6998341625,72000,44000,115000,4.1
"ENGINEERING MECHANICS PHYSICS AND SCIENCE","Engineering",889,604,20,80951.3245033113,67000,34000,105000,3.3
"ENGINEERING TECHNOLOGIES","Engineering",1647,1324,55,78495.7250755287,70000,44000,1e+05,4.2
"ENGLISH LANGUAGE AND LITERATURE","Humanities & Liberal Arts",18555,13192,739,71100.6852637962,50000,25137.5,85000,5.6
"ENVIRONMENTAL ENGINEERING","Engineering",557,453,10,80924.3267108168,70000,42000,1e+05,2.2
"ENVIRONMENTAL SCIENCE","Biology & Life Science",3580,3028,165,64968.5951122853,51000,30000,80000,5.4
"FAMILY AND CONSUMER SCIENCES","Industrial Arts & Consumer Services",1546,1150,57,63907.8434782609,48950,30000,76000,5
"FILM VIDEO AND PHOTOGRAPHIC ARTS","Arts",4440,3590,306,61955.6807799443,43700,22800,75000,8.5
