"Major","mean_earnings","median_earnings","two.five <- quantile(PERNP, 0.25)","seven.five <- quantile(PERNP, 0.75)","total_majors","number_employed","number_unemployed","unemployment_rate"
"ACCOUNTING",41889.26770754,40000,23000,56000,9344,7878,375,4.8
"ACTUARIAL SCIENCE",54887.8205128205,54500,30000,73500,185,156,12,7.7
"ADVERTISING AND PUBLIC RELATIONS",34368.9494163424,32000,18000,45000,2377,2056,127,6.2
"AEROSPACE ENGINEERING",50632.8024502297,55000,25000,70000,831,653,28,4.3
"AGRICULTURAL ECONOMICS",43598.5714285714,42100,24000,59000,154,140,5,3.6
"AGRICULTURE PRODUCTION AND MANAGEMENT",37739.1746666667,35000,21000,48000,818,750,20,2.7
"ANIMAL SCIENCES",27838.2387475538,25000,12000,39000,1284,1022,47,4.6
"ANTHROPOLOGY AND ARCHEOLOGY",24964.9487179487,21000,10000,35000,2026,1560,164,10.5
"APPLIED MATHEMATICS",46937.6168224299,39000,17325,65000,301,214,27,12.6
"ARCHITECTURAL ENGINEERING",48510.3333333333,55000,34725,65000,131,120,5,4.2
"ARCHITECTURE",32252.7252502781,30000,14000,45000,2223,1798,119,6.6
"AREA ETHNIC AND CIVILIZATION STUDIES",29552.7489711934,25000,12000,40000,1562,1215,101,8.3
"ART AND MUSIC EDUCATION",27509.1492146597,28250,13000,39000,1725,1528,56,3.7
"ART HISTORY AND CRITICISM",26701.5235602094,25000,12000,37100,927,764,50,6.5
"ASTRONOMY AND ASTROPHYSICS",29092.7272727273,25000,9900,37300,70,55,4,7.3
"ATMOSPHERIC SCIENCES AND METEOROLOGY",28930.1212121212,28000,13300,40000,208,165,12,7.3
"BIOCHEMICAL SCIENCES",31693.7916376307,26500,12550,43000,2136,1435,77,5.4
"BIOLOGICAL ENGINEERING",41087.661971831,35400,18200,58000,468,355,19,5.4
"BIOLOGY",28403.1824625354,23000,10000,40000,14571,9876,666,6.7
"BIOMEDICAL ENGINEERING",42476.1514195584,36000,17000,62000,881,634,39,6.2
"BOTANY",27565.5263157895,25000,20000,34375,49,38,1,2.6
"BUSINESS ECONOMICS",44131.6599664992,40000,21000,59000,691,597,33,5.5
"BUSINESS MANAGEMENT AND ADMINISTRATION",37601.0064994584,35000,20000,50000,14266,12001,687,5.7
"CHEMICAL ENGINEERING",52977.7948360084,54000,25000,75000,1754,1433,82,5.7
"CHEMISTRY",30530.6872937294,26000,13975,41000,3279,2424,111,4.6
"CIVIL ENGINEERING",45095.6266548985,48000,23000,60000,2711,2266,93,4.1
